Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",SOT-23,18,BAV70,
"S1, S3",STAB_MX_P_2u,2,MX_stab,
S2,STAB_MX_P_7u,1,MX_stab,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW4, SW5, SW7, SW8, SW9",SW_Kailh_socket_MX_optional,36,MX_SW_HS,
SW6,SW_MX,1,MX_SW_HS,
U1,tiny2040,1,tiny2040,
